Table Name,Column Name,Data Type,Key,References,Nullable,Column Description,Synthetic Example Value
jurisdiction_catalog,jurisdiction_id,STRING,PK,,N,Simple jurisdiction identifier.,CTY_CH
jurisdiction_catalog,iso2_code,STRING,,,N,Two-letter ISO jurisdiction code.,CH
jurisdiction_catalog,iso3_code,STRING,,,N,Three-letter ISO jurisdiction code.,CHE
jurisdiction_catalog,jurisdiction_name,STRING,,,N,Jurisdiction display name.,Switzerland
jurisdiction_catalog,region_name,STRING,,,N,Geographic region.,Western Europe
jurisdiction_catalog,sub_region_name,STRING,,,Y,More detailed geographic area.,Alpine
jurisdiction_catalog,currency_code,STRING,,,Y,Common domestic currency.,CHF
jurisdiction_catalog,is_eu_member_flag,BOOLEAN,,,N,Whether jurisdiction belongs to EU in the synthetic universe.,FALSE
jurisdiction_catalog,is_sanctioned_flag,BOOLEAN,,,N,Synthetic sanctions jurisdiction indicator.,FALSE
jurisdiction_catalog,fatf_status,STRING,,,Y,Synthetic FATF classification.,standard
jurisdiction_catalog,risk_band,STRING,,,N,"Low, Medium, High or Severe jurisdiction risk band.",Low
jurisdiction_catalog,notes,STRING,,,Y,Synthetic jurisdiction note.,Stable regulatory environment
jurisdiction_catalog,start_date,DATE,,,N,SCD2 validity start date for this dimensional record.,46023
jurisdiction_catalog,end_date,DATE,,,Y,SCD2 validity end date; blank means current record.,
jurisdiction_risk_scores,jurisdiction_risk_id,STRING,PK,,N,Simple risk record identifier.,CRISK_0001
jurisdiction_risk_scores,jurisdiction_id,STRING,FK,jurisdiction_catalog.jurisdiction_id,N,Jurisdiction being scored.,CTY_CH
jurisdiction_risk_scores,risk_as_of_date,DATE,,,N,Date of risk score.,46053
jurisdiction_risk_scores,overall_risk_score,INTEGER,,,N,Composite jurisdiction risk score from 1 to 100.,18
jurisdiction_risk_scores,aml_risk_score,INTEGER,,,N,AML-specific risk score.,22
jurisdiction_risk_scores,sanctions_risk_score,INTEGER,,,N,Sanctions risk score.,10
jurisdiction_risk_scores,corruption_risk_score,INTEGER,,,N,Corruption risk score.,15
jurisdiction_risk_scores,tax_transparency_score,INTEGER,,,Y,Synthetic tax transparency risk score.,12
jurisdiction_risk_scores,risk_band,STRING,,,N,Risk category derived from score.,Low
jurisdiction_risk_scores,review_frequency_months,INTEGER,,,N,Recommended review frequency.,24
jurisdiction_risk_scores,source_label,STRING,,,Y,Synthetic source label for students.,Open risk benchmark
jurisdiction_risk_scores,rationale,STRING,,,Y,Narrative explaining the score.,Low sanctions exposure and high transparency
jurisdiction_risk_scores,start_date,DATE,,,N,SCD2 validity start date for this dimensional record.,46023
jurisdiction_risk_scores,end_date,DATE,,,Y,SCD2 validity end date; blank means current record.,
moral_entities,moral_entity_id,STRING,PK,,N,Simple moral entity identifier.,LE_CH_BANK_01
moral_entities,jurisdiction_id,STRING,FK,jurisdiction_catalog.jurisdiction_id,N,Jurisdiction where the moral entity is incorporated.,CTY_CH
moral_entities,legal_entity_name,STRING,,,N,Moral entity display name.,Helvetia Private Bank AG
moral_entities,legal_entity_type,STRING,,,N,"Bank, broker, asset manager or service company.",Bank
moral_entities,booking_center_code,STRING,,,N,Booking center code used in synthetic data.,CH01
moral_entities,regulator_name,STRING,,,Y,Primary regulator.,FINMA
moral_entities,business_line,STRING,,,Y,Primary business line.,Wealth Management
moral_entities,local_currency_code,STRING,,,N,Local reporting currency.,CHF
moral_entities,operational_status,STRING,,,N,"Open, closed, merging or suspended.",open
moral_entities,opening_date,DATE,,,Y,Synthetic opening date.,35916
moral_entities,closure_date,DATE,,,Y,Synthetic closure date if any.,
moral_entities,legal_entity_risk_band,STRING,,,Y,Risk band of moral entity.,Low
moral_entities,start_date,DATE,,,N,SCD2 validity start date for this dimensional record.,46023
moral_entities,end_date,DATE,,,Y,SCD2 validity end date; blank means current record.,
bank_departments,department_id,STRING,PK,,N,Simple organization unit identifier.,OU_PRIVATE_BANKING_CH
bank_departments,parent_department_id,STRING,FK,bank_departments.department_id,Y,Parent organization unit for hierarchy exercises.,OU_WEALTH_EUROPE
bank_departments,moral_entity_id,STRING,FK,moral_entities.moral_entity_id,Y,Owning moral entity.,LE_CH_BANK_01
bank_departments,org_unit_name,STRING,,,N,Organization unit name.,Private Banking Switzerland
bank_departments,org_unit_type,STRING,,,N,"Branch, desk, region, compliance team or investigation team.",Branch
bank_departments,jurisdiction_id,STRING,FK,jurisdiction_catalog.jurisdiction_id,N,Jurisdiction of the unit.,CTY_CH
bank_departments,manager_staff_id,STRING,FK,bank_people.staff_id,Y,Manager of the unit.,EMP_0007
bank_departments,cost_center_code,STRING,,,Y,Synthetic cost center.,CC1007
bank_departments,is_client_facing_flag,BOOLEAN,,,N,Whether the unit faces clients.,TRUE
bank_departments,status,STRING,,,N,Lifecycle status.,active
bank_departments,created_date,DATE,,,Y,Synthetic creation date.,43466
bank_departments,notes,STRING,,,Y,Operational note.,Covers Lake Geneva region
bank_departments,start_date,DATE,,,N,SCD2 validity start date for this dimensional record.,46023
bank_departments,end_date,DATE,,,Y,SCD2 validity end date; blank means current record.,
bank_people,staff_id,STRING,PK,,N,Simple staff identifier.,EMP_0001
bank_people,department_id,STRING,FK,bank_departments.department_id,N,Staff's organization unit.,OU_PRIVATE_BANKING_CH
bank_people,jurisdiction_id,STRING,FK,jurisdiction_catalog.jurisdiction_id,Y,Primary work jurisdiction.,CTY_CH
bank_people,first_name,STRING,,,N,Synthetic first name.,Maya
bank_people,last_name,STRING,,,N,Synthetic last name.,Keller
bank_people,role_title,STRING,,,N,Staff role.,Relationship Manager
bank_people,email,STRING,,,Y,Synthetic email address.,maya.keller@example.edu
bank_people,hire_date,DATE,,,Y,Staff hire date.,44089
bank_people,employment_status,STRING,,,N,"Active, leave, exited.",active
bank_people,manager_staff_id,STRING,FK,bank_people.staff_id,Y,Line manager.,EMP_0007
bank_people,language_code,STRING,,,Y,Preferred language.,en
bank_people,certification_level,STRING,,,Y,Compliance or advisory certification level.,advanced
bank_people,start_date,DATE,,,N,SCD2 validity start date for this dimensional record.,46023
bank_people,end_date,DATE,,,Y,SCD2 validity end date; blank means current record.,
clients,client_id,STRING,PK,,N,Simple client identifier for people and organizations.,PTY_100001
clients,client_type,STRING,,,N,"Individual, company, trust, foundation or external counterparty.",Individual
clients,display_name,STRING,,,N,Synthetic client display name.,Alex Morgan
clients,first_name,STRING,,,Y,First name for individual clients.,Alex
clients,last_name,STRING,,,Y,Last name for individual clients.,Morgan
clients,date_of_birth,DATE,,,Y,Date of birth for individuals.,30790
clients,incorporation_date,DATE,,,Y,Incorporation date for organizations.,42412
clients,industry_code,STRING,,,Y,Synthetic industry code.,CONSULTING
clients,occupation_text,STRING,,,Y,Occupation or business activity.,Technology consultant
clients,primary_jurisdiction_id,STRING,FK,jurisdiction_catalog.jurisdiction_id,Y,Primary jurisdiction of client.,CTY_CH
clients,tax_jurisdiction_id,STRING,FK,jurisdiction_catalog.jurisdiction_id,Y,Primary tax jurisdiction.,CTY_CH
clients,risk_score,INTEGER,,,Y,Current client risk score.,32
clients,risk_band,STRING,,,Y,"Low, Medium, High, Severe.",Medium
clients,pep_status,STRING,,,N,"Not PEP, domestic PEP, foreign PEP, close associate.",Not PEP
clients,client_segment,STRING,,,Y,"Retail, affluent, private, corporate or institutional.",Private
clients,onboarding_date,DATE,,,Y,Date client was onboarded.,44351
clients,status,STRING,,,N,Lifecycle status.,active
clients,preferred_language,STRING,,,Y,Preferred communication language.,en
clients,start_date,DATE,,,N,SCD2 validity start date for this dimensional record.,46023
clients,end_date,DATE,,,Y,SCD2 validity end date; blank means current record.,
client_locations,client_location_id,STRING,PK,,N,Simple address identifier.,ADR_000001
client_locations,client_id,STRING,FK,clients.client_id,N,Client owning the address.,PTY_100001
client_locations,jurisdiction_id,STRING,FK,jurisdiction_catalog.jurisdiction_id,N,Jurisdiction of the address.,CTY_CH
client_locations,address_type,STRING,,,N,"Home, mailing, registered, business or tax.",Home
client_locations,street_line_1,STRING,,,Y,Street and number.,12 Lake View Road
client_locations,street_line_2,STRING,,,Y,Additional address information.,Apt 4B
client_locations,postal_code,STRING,,,Y,Postal code.,1003
client_locations,city_name,STRING,,,Y,City name.,Lausanne
client_locations,state_region,STRING,,,Y,"State, canton or province.",Vaud
client_locations,latitude,DOUBLE,,,Y,Synthetic latitude for geospatial exercises.,46.5197
client_locations,longitude,DOUBLE,,,Y,Synthetic longitude for geospatial exercises.,6.6323
client_locations,is_primary_flag,BOOLEAN,,,N,Whether it is the primary address.,TRUE
client_locations,valid_from_date,DATE,,,Y,Start date for the address.,44351
client_locations,valid_to_date,DATE,,,Y,End date if historical.,
client_locations,start_date,DATE,,,N,SCD2 validity start date for this dimensional record.,46023
client_locations,end_date,DATE,,,Y,SCD2 validity end date; blank means current record.,
client_jurisdictions,client_jurisdiction_id,STRING,PK,,N,Simple client-jurisdiction link identifier.,PCN_000001
client_jurisdictions,client_id,STRING,FK,clients.client_id,N,Client linked to jurisdiction.,PTY_100001
client_jurisdictions,jurisdiction_id,STRING,FK,jurisdiction_catalog.jurisdiction_id,N,Related jurisdiction.,CTY_CH
client_jurisdictions,jurisdiction_relation_type,STRING,,,N,"Residence, nationality, birth, tax, incorporation or citizenship.",Residence
client_jurisdictions,is_primary_flag,BOOLEAN,,,N,Primary relation indicator.,TRUE
client_jurisdictions,verification_status,STRING,,,Y,"Unverified, self-declared, documentary or external.",documentary
client_jurisdictions,source_note,STRING,,,Y,Synthetic source note.,passport and utility bill
client_jurisdictions,risk_override_flag,BOOLEAN,,,N,Whether jurisdiction link caused risk override.,FALSE
client_jurisdictions,start_date,DATE,,,Y,Start date.,44351
client_jurisdictions,end_date,DATE,,,Y,End date.,
client_documents,document_id,STRING,PK,,N,Simple document identifier.,DOC_000001
client_documents,client_id,STRING,FK,clients.client_id,N,Client owning the document.,PTY_100001
client_documents,jurisdiction_id,STRING,FK,jurisdiction_catalog.jurisdiction_id,Y,Issuing jurisdiction.,CTY_CH
client_documents,document_type,STRING,,,N,"Passport, national ID, company registry, tax form, proof of address.",Passport
client_documents,document_number,STRING,,,Y,Synthetic document number.,P1234567
client_documents,issue_date,DATE,,,Y,Issue date.,43845
client_documents,expiry_date,DATE,,,Y,Expiry date.,47497
client_documents,verification_status,STRING,,,N,"Pending, verified, expired, rejected.",verified
client_documents,verified_by_staff_id,STRING,FK,bank_people.staff_id,Y,Staff that verified the document.,EMP_0012
client_documents,verified_date,DATE,,,Y,Verification date.,44352
client_documents,document_language,STRING,,,Y,Language of document.,en
client_documents,redaction_required_flag,BOOLEAN,,,N,Whether document needs redaction for student use.,FALSE
client_documents,start_date,DATE,,,N,SCD2 validity start date for this dimensional record.,46023
client_documents,end_date,DATE,,,Y,SCD2 validity end date; blank means current record.,
client_markers,client_marker_id,STRING,PK,,N,Simple client flag identifier.,PFLG_000001
client_markers,client_id,STRING,FK,clients.client_id,N,Flagged client.,PTY_100001
client_markers,flag_type,STRING,,,N,"PEP, sanctions, adverse media, vulnerable client, high cash activity, tax concern.",adverse_media
client_markers,flag_severity,STRING,,,N,"Low, medium, high, critical.",medium
client_markers,flag_status,STRING,,,N,"Open, mitigated, closed, false positive.",open
client_markers,detected_date,DATE,,,N,Date flag was created.,46068
client_markers,resolved_date,DATE,,,Y,Date flag was closed.,
client_markers,source_system,STRING,,,Y,Synthetic source of flag.,media_screening
client_markers,assigned_staff_id,STRING,FK,bank_people.staff_id,Y,Owner of flag review.,EMP_0021
client_markers,mitigation_note,STRING,,,Y,Short mitigation note.,Reviewed and pending client clarification
client_markers,requires_review_flag,BOOLEAN,,,N,Whether manual review is needed.,TRUE
client_markers,next_review_date,DATE,,,Y,Scheduled review date.,46157
bank_relations,bank_relation_id,STRING,PK,,N,Simple bank relation identifier.,BR_200001
bank_relations,primary_client_id,STRING,FK,clients.client_id,N,Main client for the relationship.,PTY_100001
bank_relations,moral_entity_id,STRING,FK,moral_entities.moral_entity_id,N,Booking or servicing moral entity.,LE_CH_BANK_01
bank_relations,relationship_manager_staff_id,STRING,FK,bank_people.staff_id,Y,Relationship manager.,EMP_0001
bank_relations,business_unit_id,STRING,FK,bank_departments.department_id,Y,Servicing organization unit.,OU_PRIVATE_BANKING_CH
bank_relations,relationship_type,STRING,,,N,"Individual, joint, corporate, trust, foundation, advisory or custody.",Individual
bank_relations,client_segment,STRING,,,Y,Client segment.,Private
bank_relations,opening_date,DATE,,,Y,Relationship opening date.,44351
bank_relations,closing_date,DATE,,,Y,Relationship closing date.,
